time,Pump_rate,base,time_2,diff
216,76748.27137,43667.11991,3.00,33081.15146
217,76748.27137,43667.11991,4.00,33081.15146
218,76748.27137,43667.11991,5.00,33081.15146
219,76748.27137,43667.11991,6.00,33081.15146
220,76748.27137,43667.11991,7.00,33081.15146
221,76748.27137,43667.11991,8.00,33081.15146
222,76748.27137,43667.11991,9.00,33081.15146
223,76748.27137,43667.11991,10.00,33081.15146
224,76748.27137,43667.11991,11.00,33081.15146
225,76748.27137,43667.11991,12.00,33081.15146
226,76748.27137,43667.11991,13.00,33081.15146
227,76748.27137,43667.11991,14.00,33081.15146
228,76748.27137,43667.11991,15.00,33081.15146
229,76748.27137,43667.11991,16.00,33081.15146
230,76748.27137,43667.11991,17.00,33081.15146
231,76748.27137,43667.11991,18.00,33081.15146
232,76748.27137,43667.11991,19.00,33081.15146
233,76748.27137,43667.11991,20.00,33081.15146
234,76748.27137,43667.11991,21.00,33081.15146
235,76748.27137,43667.11991,22.00,33081.15146
236,76748.27137,43667.11991,23.00,33081.15146
237,76748.27137,43667.11991,24.00,33081.15146
238,76748.27137,43667.11991,25.00,33081.15146
239,76748.27137,43667.11991,26.00,33081.15146
240,76748.27137,43667.11991,27.00,33081.15146
241,76748.27137,43667.11991,28.00,33081.15146
242,76748.27137,43667.11991,29.00,33081.15146
243,76748.27137,43667.11991,30.00,33081.15146
244,76748.27137,43667.11991,31.00,33081.15146
245,58340.44843,43667.11991,1.00,14673.32852
246,58340.44843,43667.11991,2.00,14673.32852
247,58340.44843,43667.11991,3.00,14673.32852
248,58340.44843,43667.11991,4.00,14673.32852
249,58340.44843,43667.11991,5.00,14673.32852
250,58340.44843,43667.11991,6.00,14673.32852
251,58340.44843,43667.11991,7.00,14673.32852
252,58340.44843,43667.11991,8.00,14673.32852
253,58340.44843,43667.11991,9.00,14673.32852
254,58340.44843,43667.11991,10.00,14673.32852
255,58340.44843,43667.11991,11.00,14673.32852
256,58340.44843,43667.11991,12.00,14673.32852
257,58340.44843,43667.11991,13.00,14673.32852
258,58340.44843,43667.11991,14.00,14673.32852
259,58340.44843,43667.11991,15.00,14673.32852
260,58340.44843,43667.11991,16.00,14673.32852
261,58340.44843,43667.11991,17.00,14673.32852
262,58340.44843,43667.11991,18.00,14673.32852
263,58340.44843,43667.11991,19.00,14673.32852
264,58340.44843,43667.11991,20.00,14673.32852
265,58340.44843,43667.11991,21.00,14673.32852
266,58340.44843,43667.11991,22.00,14673.32852
267,58340.44843,43667.11991,23.00,14673.32852
268,58340.44843,43667.11991,24.00,14673.32852
269,58340.44843,43667.11991,25.00,14673.32852
270,58340.44843,43667.11991,26.00,14673.32852
271,58340.44843,43667.11991,27.00,14673.32852
272,58340.44843,43667.11991,28.00,14673.32852
273,58340.44843,43667.11991,29.00,14673.32852
274,58340.44843,43667.11991,30.00,14673.32852
275,39697.38175,29853.90135,1.00,9843.4804
276,39697.38175,29853.90135,2.00,9843.4804
277,39697.38175,29853.90135,3.00,9843.4804
278,39697.38175,29853.90135,4.00,9843.4804
279,39697.38175,29853.90135,5.00,9843.4804
280,39697.38175,29853.90135,6.00,9843.4804
281,39697.38175,29853.90135,7.00,9843.4804
282,39697.38175,29853.90135,8.00,9843.4804
283,39697.38175,29853.90135,9.00,9843.4804
284,39697.38175,29853.90135,10.00,9843.4804
285,39697.38175,29853.90135,11.00,9843.4804
286,39697.38175,29853.90135,12.00,9843.4804
287,39697.38175,29853.90135,13.00,9843.4804
288,39697.38175,29853.90135,14.00,9843.4804
289,39697.38175,29853.90135,15.00,9843.4804
290,39697.38175,29853.90135,16.00,9843.4804
291,39697.38175,29853.90135,17.00,9843.4804
292,39697.38175,29853.90135,18.00,9843.4804
293,39697.38175,29853.90135,19.00,9843.4804
294,39697.38175,29853.90135,20.00,9843.4804
295,39697.38175,29853.90135,21.00,9843.4804
296,39697.38175,29853.90135,22.00,9843.4804
297,39697.38175,29853.90135,23.00,9843.4804
298,39697.38175,29853.90135,24.00,9843.4804
299,39697.38175,29853.90135,25.00,9843.4804
300,39697.38175,29853.90135,26.00,9843.4804
301,39697.38175,29853.90135,27.00,9843.4804
302,39697.38175,29853.90135,28.00,9843.4804
303,39697.38175,29853.90135,29.00,9843.4804
304,39697.38175,29853.90135,30.00,9843.4804
305,39697.38175,29853.90135,31.00,9843.4804
306,19142.95964,16761.11674,1.00,2381.842903
307,19142.95964,16761.11674,2.00,2381.842903
308,19142.95964,16761.11674,3.00,2381.842903
309,19142.95964,16761.11674,4.00,2381.842903
310,19142.95964,16761.11674,5.00,2381.842903
311,19142.95964,16761.11674,6.00,2381.842903
312,19142.95964,16761.11674,7.00,2381.842903
313,19142.95964,16761.11674,8.00,2381.842903
314,19142.95964,16761.11674,9.00,2381.842903
315,19142.95964,16761.11674,10.00,2381.842903
316,19142.95964,16761.11674,11.00,2381.842903
317,19142.95964,16761.11674,12.00,2381.842903
318,19142.95964,16761.11674,13.00,2381.842903
319,19142.95964,16761.11674,14.00,2381.842903
320,19142.95964,16761.11674,15.00,2381.842903
321,19142.95964,16761.11674,16.00,2381.842903
322,19142.95964,16761.11674,17.00,2381.842903
323,19142.95964,16761.11674,18.00,2381.842903
324,19142.95964,16761.11674,19.00,2381.842903
325,19142.95964,16761.11674,20.00,2381.842903
326,19142.95964,16761.11674,21.00,2381.842903
327,19142.95964,16761.11674,22.00,2381.842903
328,19142.95964,16761.11674,23.00,2381.842903
329,19142.95964,16761.11674,24.00,2381.842903
330,19142.95964,16761.11674,25.00,2381.842903
331,19142.95964,16761.11674,26.00,2381.842903
332,19142.95964,16761.11674,27.00,2381.842903
333,19142.95964,16761.11674,28.00,2381.842903
334,19142.95964,16761.11674,29.00,2381.842903
335,19142.95964,16761.11674,30.00,2381.842903
336,17202.19876,16761.11674,1.00,441.082026
337,17202.19876,16761.11674,2.00,441.082026
338,17202.19876,16761.11674,3.00,441.082026
339,17202.19876,16761.11674,4.00,441.082026
340,17202.19876,16761.11674,5.00,441.082026
341,17202.19876,16761.11674,6.00,441.082026
342,17202.19876,16761.11674,7.00,441.082026
343,17202.19876,16761.11674,8.00,441.082026
344,17202.19876,16761.11674,9.00,441.082026
345,17202.19876,16761.11674,10.00,441.082026
346,17202.19876,16761.11674,11.00,441.082026
347,17202.19876,16761.11674,12.00,441.082026
348,17202.19876,16761.11674,13.00,441.082026
349,17202.19876,16761.11674,14.00,441.082026
350,17202.19876,16761.11674,15.00,441.082026
351,17202.19876,16761.11674,16.00,441.082026
352,17202.19876,16761.11674,17.00,441.082026
353,17202.19876,16761.11674,18.00,441.082026
354,17202.19876,16761.11674,19.00,441.082026
355,17202.19876,16761.11674,20.00,441.082026
356,17202.19876,16761.11674,21.00,441.082026
357,17202.19876,16761.11674,22.00,441.082026
358,17202.19876,16761.11674,23.00,441.082026
359,17202.19876,16761.11674,24.00,441.082026
360,17202.19876,16761.11674,25.00,441.082026
361,17202.19876,16761.11674,26.00,441.082026
362,17202.19876,16761.11674,27.00,441.082026
363,17202.19876,16761.11674,28.00,441.082026
364,17202.19876,16761.11674,29.00,441.082026
365,17202.19876,16761.11674,30.00,441.082026
